artist_id,artist_name,artist_genres,artist_followers,artist_popularity,artist_type,artist_top_tracks,related_artists
2tAOabOdb8uzkBH5Lu6Lxs,Luke Potter,['uk dance'],4845,13,artist,"['6dEuww75OLunArThrnt0Vs', '5XhXAFqdjQZSZM6jfzQMJv', '4YkJI26JscmQuR0avr7rKE', '5WmaB3MqDpF1NSavBKicqy', '19aHiSOy1nwtW5vcoFIF5L', '5ptRemJN5huwQ2LdGi4QAG', '2QsVaK4jBm8JoeBwcpmobo', '0EcAyESCnfdkuVvtaJu1E3', '6uRriYEq1ZTJPJzedHAL1P', '4Dea9Kkil7RlIA9YgOlYJv']","['5m6t9s3fym83RothxKqYMT', '6vAyp70q8ljSEAOqseaY2D', '5ao5epBgNIHVOQqFSiRWkB', '4HR8ZTWwYWPBSOGcHKE8qO', '7wFR3NP83Ae74rjLPotq8q', '5yH1sHKXA1riG6EnSbhYEq', '2CsJH9ONRi2C3fEdVVUW2o', '23fq7THfMOa082wOOfDHBx', '2h5ggCdQFWMsvUVqapgQ6u', '2BHXPNXgVzNRouDsHPVr2G', '3Pvk8lU3f98rKtNZWZCpLP', '36waEMONvc6PInZALvtEzo', '3eaIAAkZJ2iWGIN5kM9cBM', '41hhOkoRcm7m4fE0g7t1sa', '1bpQkMIaevJLOvk1vcJi3R', '0SLkVdfLgKFoCitZl1CfIv', '51ruBWjcH6XgbCw0bZQaMB', '6t4ZsaVNpnPV6ahkE4Kzo7', '6zOGikVcLDyO9bZMlprNFO', '0J0G4pZq6V3muj0aPTeRg8']"
3jKXF1HfybALB1UoJ3Pw78,Artist Page Redirect Cleanup 2023,[],5,0,artist,[],[]
1oojcp861zYKDzhR9bAp2K,Zwicker,['electro jazz'],2778,28,artist,"['1EykSO3LIvoRnGzGjGeruE', '5SQNCXpg0MC1vzhYBHfAf6', '2s5EVzujouAeQtitPgwZND', '5ySkXCB2TzUSif5x9mJaQj', '6DuOeQLU3fOu1QXxsJk95R', '3B8aKAuOBKuaPRsci8O9uM', '6slFpR8yNtM0uUr6XGmdar', '3VBwP33LcH2YvIraqelTZA', '3nvrc2vut8vUsAzAWqeuq6', '2eUnqmjP2R3RfzUYGb10lZ']","['2xexrciI5b1D84QszrElb9', '7lGwr6xprt7yTLqkBjs7rv', '31ibV0K2mVYT9frdxt1lc9', '2WSzphbmFHDqz6K17xLjcI', '1LbG3aDUf8mRBgZjvx8516', '41ITYFOUrXrzWhudmBYC0X', '1yMYTDjdfocxsygVuym0N0', '6zdxsAuZIwFtiuLAymNRGs', '6h0UrSTqYGhHTM3rT4YK4Z', '39rYfO99DvdVwMEKlaNiLO', '7JBOdpSaBHLpbSwkd72upG', '1s6gM4BRUbPDrvSLgdAuw0', '0c4oPy3M7pJODLUpBYoffZ', '5FhrpySsLZJYo3wA28qkCU', '4gSFuFihmKjvOg6oiE5u5B', '5MuLnwZid1jrvahRcyJFU5', '3WXF9fqBHmKBirvFxGDvCe', '7p1B2irVgkLMmk9oRPG5EP', '5GnzMoOSa3jHJmTSA8ujze', '2dxfrIXDVz9vrggJPRuJrZ']"
3lO5RPMHrXaSQJoaLCFDb6,2008 South Africa,[],155,3,artist,"['0DeNkzxUv5D8m9gTQaUUbl', '5l81G7q8xhMpMhd4wuny81', '2pb1IfAqh4SlZC1VQtvap0', '5VdVBdgln1qGnQVHbiRHTg', '652RaL6YDwCzs6Z7KNdTYN', '38V3QndkWEIr0Ap25SNwMe', '7uwkgGW17wjdbBlCn6KmYw', '1BE0WyDi72JelkG2UOhKij', '16cTSiipZj6dZjdOOzYIvq', '0k9puiPqGT301xLYldWcfY']","['3E2mHB3lJB7vtd3xkFBm8e', '0ahjy4l2Pe7M5mS7LH4xvP', '6QQPQd3jBmx9pXoAbJzzTM', '2rYnPJc9TasdUkXoS5MloJ', '36QIkk7VZOToC36lp04N3G', '1s5eigvOeqRBErpKscjcSU', '3t9vKaNKGJtRBBgzcEFLbr', '2N3mX8xtXgCJwaQYjm2qr4', '721OM9EaZX0RtJOvOhfuR4', '2LUdRRGFGcloxXsmEvjsgC', '513hBvcWaf7eEc1il4Q7Pj', '1q0PMt8b0H0RRGcZd35XkJ', '0GXXI6HKwhP2kpPYPVcggZ', '44jlg8mN6UecucFzOnTyaQ', '0ovKi2AYnxHc3F7owExU2R', '47SWGmsz29f3rlBH0qXr0w', '3bKlEO17W5YwQRkmli678G', '74A1JytvpdwhdpCD7ydkk5', '6KRBDkp9TrEn0Phvi6adUK', '1miomQqHIqYKJ7CbiqNS3O']"
4wAVdoD4NpligQjLzawxNA,The Debs,[],24,0,artist,"['6kuKGGdNzEZQAvcTvd7Qzi', '3nwENRKMsFRfTYuDOySKI6', '2oTfR5PeFDe5vbAeqfVS1I', '1MUMejZFLWdKXp7McI7aTY', '4B2qacvWK7uBxH4sNQC3p3', '5L7xdyv4Eur8G7QURn5uqC']","['7BYdSRi4IjybXwFRIRxUJh', '7eEYDnvFg9G4dmfsY0y2Km', '6MZoGZqQYVuzb9LU760NiT', '3azPNynWH5ZORoAoEsA35K', '25Tzr3xg2YcDRrLwvlmTja', '08pqkn3VcvsCTgUUOiYaOh', '4FQ44N5oLUTtnXTKZv6gf3', '25WOr2HEfs2MDBzk6lz2gw', '7j5vJoVp7zMXsvflwHVA3d', '1leq7r6CYcrgPMDJPytEI4', '1ZKXyzhrPYYrpJzp1DNFj4', '6vqxoewl9z8Rd2FddOoY18', '2aqhT56sNnVDUcKnb7N8w0', '5blQQbFUkCs4pDnOjyLf3r', '12XnjhSRZ08Y3tlM5SdhKc', '7yQ8RGmmYL65lN13TlRTTa', '0XTc6HP41fN81Ed6qxJXww', '1ehXhnCXENw2JmWQlreOgG', '1c2Bo68bYj2ghwW53HGygb', '4kIp2gszlkOfLxWKoLPy45']"
0WlopWlVKJ0aM1X1aSbmAb,The Transients,['perth indie'],27,0,artist,"['1lDFEwkwtkDetEDXB72hIl', '4BeqK2lOFmKzELgZuAUdQC', '3IS8JeaeQ38ABCDzWKKP8m', '3j41EtuS3XWmrn9RMZO15w', '3vtrFln8K6M0NF3skdwIeH', '6vRsEooS3xme0RVLQFpXA0', '3rclwekgkfebvIdmwKSZBj', '0RWMj7Dy2ldabmEM7OoOnB', '58PwE5vuYPAThOcA5bohS6', '0J6kg7RZLGwhf84KIb2Mkb']","['0gJHtvopCtzgsJUGGcmEbL', '3Mn3aSUHp0LmHK3ohGHl6G', '6TCxMUNdcs94uZuqiYRDLp', '5nvRb961RjhlnZUhmgeHvG', '20Ezb3Tfi2HcqHYbxRlCP1', '4k3cKEYagKtReyegupbkEy', '5poRqnARXvvawmByIhRYZo', '2HQOS85krEURNC4bDIw8LH', '5DRhzaNoR014yVIeBIn4Qc', '7K2trxerXD6NGKRdNOqzUt', '6otfdG8KZP4dXF3p59ehwY', '2j9BLZAgJFbnE0Ap3NiKkQ', '1isH8AOTxcUyGYrtBU4yjD', '1izV9c9ltmmWVMJPm6emyb', '1sFlyX2ZwVUKS00bnyacAw', '1CmMSK7wrsplwUExYri5vM', '4EENT7N7rCBwrddM3s0vFS', '2dgmykeENpwVyPqFbSw0dm', '4MJl9M3QyPz03t1scVCUHP', '3oYd8aZIkwktHVdeouzUpX']"
2Ht9c2O0dbyljmYTrT3WM9,Lord Of Putrefaction,[],186,0,artist,"['4cVl0dt2HJoh1LECqw4oIC', '2UieJyfwhhsDCLnG5c4jru', '4xNUAdZJVVFcmqZXYjo1CR', '6vcTtpAj9RAvj3toHRXoiM']","['3GDqFlLiUqoXqqVvT6XSlv', '3FrsGZO0uosIs2Vn2TJhQY', '5O7ziOtiFUyRMBJN1J4Tpv', '4htjQW3lgIwL6fEJlTOez4', '40uWyieMnDCdIlba6Pr7xL', '48oiffaUrQHZXzfvr5aO1L', '64yj4wx5kNH3NTUW0ghyxn', '0jPA74DtdgWqMU2x4cAFsb', '2o6j5DWPwQ5TUny6ttbbZu', '1qPFzP54oMjiPXpmneoIwF', '5Ij5H3Ck98GRZoWSeyu4vz', '2oSfMWbje3XOK5QvxljrdB', '35PfkC9tHjubb940it3Ns7', '0PK6ewFU4DbFB8Eqr58Sct', '34Dog4Ylyg3eUFJF5Rk7Hc', '2nChukSvdJbQbVAvrP21vT', '4YumqLcvnU9DW31AkzaviJ', '1hiIe6hmDchjc246cpoAOM', '5dMMhG6AhE0JyGtB1Q1tCf', '05sbmFTeoI13JoKtsy8iMv']"
4ByxAkm826AGxsc3znQmUG,Bryan Clark,[],204,0,artist,"['3t6PtHYCVl4aNSHTMip7ej', '76mISBJBoJhmx6GwMbCEUT', '4WH1dddzCKSub7mPfHNTBB', '6VvxYHE9tu4AfWPckpW9Bp', '3ktWu4lCV0kcLNEsdGsmuE', '36q2gw0ITwkuz7PjPg0uuA', '63YgUQrrWHLhOfVdxesQqV', '60tiqDhzrxRgKugnJNSpnu', '10l4JSpV2PaaH6J9tlCbsP', '0I03x1RtQNY7jh8Vz2okBf']","['2Shc3azRnbrd80afhFyYtm', '5IL0XG5DKaIni6mo0LElOZ', '1i5WEabzQfRpabBQOj2qTL', '3NlsVTSNMEgfCgXEniWB1i', '1WoEAqGI09v57I1DgwAdlk', '2kkogzI6zI3K8iN6gbfeRc', '06sEZQD0bckjWfGs0536ji', '0tNrSW19cDTPio0LgHNah3', '6alTCTfrIH8OYApy4Wtu48', '0udYdJXMNp0SUtseES1GBs', '46d2Gw9XjeMAhlG1tXqhkZ', '5GmTnqtSTio7KExuVLfw4W', '4GrUViYz1hXFb6MZ4Cmf5D', '2IWtjlSMTEaOA7InIsGDKT', '0PVy2qchwbJpsTTWhjbeJ6', '7mf66Dl0HTjU96mh3GW5xR', '5y87g6M5co7IBxeuvvxT0I', '3dqjH19x8IM9myM5QHG5zi', '6FpynI5oIJOYSyIV1Ywkf6', '40K1JdQd15VxdQD4qNEJSf']"
3a34v9rZzoFZ7K19NszX9F,Dave Okumu,[],4375,33,artist,"['5TL5YGo0Lj8PgjgHoNIJDS', '7JDnCjOAuR6snlt3k6VtbO', '6yRAQX1d91AQEcwwYXsCfb', '4uIsRHhz5M7uT7YV0LDoQD', '691SRHwBq4pHvxhCQmJopY', '09bJ5i98Xmpx1v7YzBxPWZ', '1wkrnm6v4B1vzxgPpgcipK', '4tpL8ITHpQaUxmifCmShpJ', '73Nnef0HDmsxwbcSzhwC7T', '0e6pPNc91kippQhAP2CVSX']","['7FmM0XgimRvS48CfObh2ht', '5GzH8EsRPqgNjNo3oBfRvk', '7xfBWpNiwO2yteiY68OB6C', '6rVN7vMGgDqCGif9EpNpVb', '6Uf8GS97rZbMv6vUFKhWft', '6FP6ynzSPeBFX46vkI1OsW', '0qntmZZEAGHbEQEbCRQoUG', '4dGwtd1FYag1VY1vaR1U8y', '3ZKUFIrYS6aAgIxu5AfTX5', '7qzzcFzliEAHMlDA9qaRVf', '3PaJIkKZtfopcZxWluQhzJ', '5E6dR5oDjhT39zr1YuXRq0', '1ZxriNuHn6Upjf3U97nnUN', '4NkfNPTsDtbPntbU1pBYVt', '7dgLSJ4HaXx0dy5V2BMQe5', '7pPOvwCq4bb2iObs8twDir', '4VBpeA30apDA7lpsay61FM', '69yCD4Jh0p9vCdm6WbhWx6', '4vPE7pt5RgtB8cqDqQHhMK', '59lypjMPo7ZILhNMCgaE19']"
4boCJTtk1s4K2E1YzAYM2s,Stephen Gordon,[],492,2,artist,"['1dkXV2UO9MqOg2vSPswrMi', '1MVBE9SYc9eHmYIXB9LpJR', '3tFk0Dm7zh9xDQHwvr7gg6', '4WJSyM8nx9uvmXjkH5cxqL', '70VZoSBWRGBsGTGR2xNgrI', '1sIRO2YG5MKOeIOYrBBD8R', '3FTZEtmwzROghrAPif2VL9', '71l4uyk6R1OO9YNMRwOzgg', '5kpSWaxB2ZSlzOalJc0d4A', '2ThKo2BhwJGhblCxZF8pUh']","['7lN2SeYUeU2etQjGbB3WDr', '435UmkDo0uchwmDeHdKWGN', '19YqJFv1Z3IYLdTzMe3f7J', '59e7WF77CRg4ONF1VHPzz9', '2BDBidCwCE6OEUD4g7wvUD', '1OAvAS17dRyNaj3FgFNzM1', '4ne8gICfqa09swwqaPV2m0', '7CsfVlp4bzsQibsOhLgFe8', '16QSVsPKl743hu4U5C18R8', '7rd0zFZ6CBHk4YlX35F9y9', '3pjjXNOWE3GUIZBU5lEDI4', '4xgo3WQCUmn6nrf84bwjOF', '18FojbNFtWY8HKOMVSA2K4', '3fykZj3M8ojlMrWQZAneXV', '4MBIFx8pthemIVuEJSgAxb', '42jYJdXSdSOIG31LsYKuch', '4RwbDag6jWIYJnEGH6Wte9', '3tc0nEJaa7aSOAEa3fbEEJ', '3tS1ZyY6lkdlpuhFNCLytV', '3xdzcbPavMUSRPpluOFwP2']"
